Category,Measure,2017_18,2018_19,2019_20,2020-21,2021-22,2022-23,Impact
Housing and Homeownership,Land Assembly Fund,0,0,-220,-355,0,0,-575
Housing and Homeownership,Housing Infrastructure Fund: extend,0,0,-215,-710,0,0,-925
Housing and Homeownership,Small sites: infrastructure and remediation,0,-275,-355,-120,0,0,-750
Housing and Homeownership,Local Authority housebuilding: additional investment,0,0,-355,-265,-260,0,-880
Housing and Homeownership,"Stamp Duty Land Tax: abolish for First Time Buyers up to £300,000",-125,-560,-585,-610,-640,-670,-3190
Housing and Homeownership,Right to Buy for Housing Association tenants: pilot,0,0,-85,0,0,0,-85
Housing and Homeownership,Council Tax: increase maximum empty home premium to 100%,0,0,0,0,5,5,10
National Health Service,NHS: additional resource,-400,-1900,-1070,0,0,0,-3370
National Health Service,NHS: additional capital,-600,-420,-840,-1020,-960,-360,-4200
Supporting families and working people,Fuel Duty: freeze for 2018-19,0,-830,-825,-845,-865,-885,-4250
Supporting families and working people,Alcohol Duties: freeze in 2018,-35,-225,-230,-230,-235,-240,-1195
Supporting families and working people,Air Passenger Duty: freeze for long-haul economy flights and raise business class multiplier,0,0,25,25,25,30,105
Supporting families and working people,Targeted Affordability Fund: increase,0,-40,-85,-95,-100,-110,-430
Supporting families and working people,Universal Credit: remove 7 day wait and extend advances to 100%,-20,-170,-205,-195,-160,-145,-895
Supporting families and working people,Universal Credit: run on payment for housing benefit recipients,0,-130,-125,-135,-110,-40,-540
Supporting families and working people,Universal Credit: in-work progression trials,0,0,0,-5,-5,0,-10
Supporting families and working people,Private rented sector access schemes: support for households at risk of homelessness,0,-10,-10,0,0,0,-20
Supporting families and working people,Disabled Facilities Grant: additional resource,-50,0,0,0,0,0,-50
Supporting families and working people,Relationship Support: continue programme,0,-5,-10,0,0,0,-15
An economy fit for the future,Domestic spending: preparing for EU Exit,0,-1500,-1500,0,0,0,-3000
An economy fit for the future,National Productivity Investment Fund,0,0,0,0,0,0,0
An economy fit for the future,Research and Development: NPIF investment,0,0,0,0,0,0,0
